CODE,SOT,year,Site,Zone,Tree #,Aspect,Height,CODE,Stem length,Tray mass (g),SOT+0 (m/g),SOT+1 (m/g),SOT+2 (m/g),SOT+3 (m/g),SOT+4 (m/g),SOT+5 (m/g),Dry weight,Fresh wgt,Dry wgt,H2O content,Total needles,MEAN (cm),SA/leaf (cm2),SA total (cm2),SA total (m2),1,2,3,4,5,gmin
BLK E4 WS,2013-09-26,2013,BLK,E,4,W,S,BLK E4 WS,15.7,2.5129,2.709,2.69,2.6853,2.682,2.679,2.676,2.6031,0.0902,0.1961,117.405765,51,0.545,1.8312327,93.3928677,0.009339287,1.11876E-06,2.76747E-07,1.94312E-07,1.76647E-07,1.76647E-07,3.17375E-07
BLK E5 LA,2013-09-26,2013,BLK,E,5,L,A,BLK E5 LA,15.8,2.0602,2.2951,2.28,2.2688,2.266,2.261,2.257,2.1737,0.1135,0.2349,106.9603524,25,0.965,3.2424579,81.0614475,0.008106145,1.02438E-06,7.59805E-07,1.89951E-07,3.39199E-07,2.71359E-07,8.5071E-07
BLK E5 LC,2013-09-26,2013,BLK,E,5,L,C,BLK E5 LC,22.9,2.1465,2.5863,2.55,2.5361,2.528,2.518,2.511,2.3662,0.2197,0.4398,100.1820665,38,0.905,3.0408543,115.5524634,0.011555246,1.72753E-06,6.61506E-07,3.85482E-07,4.75904E-07,3.33133E-07,7.77151E-07
BLK E5 LS,2013-09-26,2013,BLK,E,5,L,S,BLK E5 LS,20.2,2.0707,2.4142,2.39,2.3865,2.382,2.377,2.373,2.2319,0.1612,0.3435,113.08933,47,0.865,2.9064519,136.6032393,0.013660324,9.7421E-07,1.40898E-07,1.81155E-07,2.01283E-07,1.61026E-07,1.42911E-07
BLK E5 WA,2013-09-26,2013,BLK,E,5,W,A,BLK E5 WA,16.1,2.008,2.265,2.24,2.2335,2.225,2.212,2.204,2.1465,0.1385,0.257,85.55956679,45,0.82,2.7552492,123.986214,0.012398621,1.10883E-06,2.88296E-07,3.77002E-07,5.76592E-07,3.54826E-07,2.59466E-07
BLK E5 WC,2013-09-26,2013,BLK,E,5,W,C,BLK E5 WC,16.6,2.0284,2.4048,2.36,2.3415,2.335,2.326,2.319,2.1896,0.1612,0.3764,133.4987593,39,1.03,3.4608618,134.9736102,0.013497361,1.82527E-06,7.53739E-07,2.64827E-07,3.66684E-07,2.85199E-07,8.7393E-07
BLK E5 WS,2013-09-26,2013,BLK,E,5,W,S,BLK E5 WS,10,2.0265,2.1465,2.13,2.126,2.122,2.119,2.116,2.0825,0.056,0.12,114.2857143,23,0.725,2.4360435,56.0290005,0.0056029,1.61946E-06,3.92596E-07,3.92596E-07,2.94447E-07,2.94447E-07,4.8093E-07
BLK F1 LA,2014-02-13,2013,BLK,F,1,L,A,BLK F1 LA,22,1.8777,2.195,2.181,2.177,2.171,2.168,2.158,2.042,0.1643,0.3173,93.12233719,37,0.725,2.4360435,90.1336095,0.009013361,8.54161E-07,2.44046E-07,3.66069E-07,1.83034E-07,6.10115E-07,3.05057E-08
BLK F1 LC,2014-02-13,2013,BLK,F,1,L,C,BLK F1 LC,24,1.8774,2.315,2.293,2.28,2.269,2.254,2.242,2.083,0.2056,0.4376,112.8404669,23,0.9,3.024054,69.553242,0.006955324,1.73942E-06,1.02784E-06,8.69708E-07,1.18597E-06,9.48773E-07,9.80398E-07
BLK F1 LS,2014-02-13,2013,BLK,F,1,L,S,BLK F1 LS,28,1.9155,2.425,2.361,2.349,2.345,2.339,2.331,2.144,0.2285,0.5095,122.97593,46,0.845,2.8392507,130.6055322,0.013060553,2.69474E-06,5.05264E-07,1.68421E-07,2.52632E-07,3.36842E-07,4.63158E-07
BLK F1 WA,2014-02-13,2013,BLK,F,1,W,A,BLK F1 WA,32,1.8664,2.476,2.456,2.446,2.435,2.425,2.411,2.158,0.2916,0.6096,109.0534979,55,1.12,3.7632672,206.979696,0.02069797,5.31374E-07,2.65687E-07,2.92256E-07,2.65687E-07,3.71962E-07,1.96609E-07
BLK F1 WC,2014-02-13,2013,BLK,F,1,W,C,BLK F1 WC,30,1.9328,2.544,2.521,2.506,2.497,2.49,2.479,2.228,0.2952,0.6112,107.0460705,58,1.11,3.7296666,216.3206628,0.021632066,5.84693E-07,3.81322E-07,2.28793E-07,1.7795E-07,2.79636E-07,3.9149E-07
BLK F2 LA,2014-02-13,2013,BLK,F,2,L,A,BLK F2 LA,27,1.8134,2.384,2.35,2.339,2.329,2.322,2.312,2.097,0.2836,0.5706,101.1988717,43,1.065,3.5784639,153.8739477,0.015387395,1.2151E-06,3.93121E-07,3.57382E-07,2.50168E-07,3.57382E-07,4.14564E-07
BLK F2 WA,2014-02-13,2013,BLK,F,2,W,A,BLK F2 WA,16.9,1.8547,2.136,2.119,2.112,2.102,2.095,2.088,1.989,0.1343,0.2813,109.4564408,22,1.07,3.5952642,79.0958124,0.007909581,1.18194E-06,4.86679E-07,6.95256E-07,4.86679E-07,4.86679E-07,6.11825E-07
BLK F2 WC,2014-02-13,2013,BLK,F,2,W,C,BLK F2 WC,22,1.8943,2.351,2.256,2.241,2.23,2.216,2.2,2.081,0.1867,0.4567,144.6170327,32,1,3.36006,107.52192,0.010752192,4.85875E-06,7.67172E-07,5.62593E-07,7.16027E-07,8.18316E-07,6.08623E-07
BLK F2 WS,2014-02-13,2013,BLK,F,2,W,S,BLK F2 WS,22,1.8911,2.409,2.332,2.319,2.309,2.296,2.291,2.115,0.2239,0.5179,131.3086199,54,0.875,2.9400525,158.762835,0.015876284,2.66711E-06,4.50291E-07,3.46377E-07,4.50291E-07,1.73189E-07,6.09624E-07
BLK F3 LA,2014-02-13,2013,BLK,F,3,L,A,BLK F3 LA,50,1.9198,2.187,2.163,2.157,2.151,2.147,2.142,2.138,0.2182,0.2672,22.45646196,35,1.0275,3.45246165,120.8361578,0.012083616,1.09223E-06,2.73057E-07,2.73057E-07,1.82038E-07,2.27547E-07,3.18566E-07
BLK F3 LC,2014-02-13,2013,BLK,F,3,L,C,BLK F3 LC,21,1.8447,2.387,2.358,2.336,2.321,2.306,2.292,2.114,0.2693,0.5423,101.3739324,51,1,3.36006,171.36306,0.017136306,9.30634E-07,7.05999E-07,4.81363E-07,4.81363E-07,4.49272E-07,7.99062E-07
BLK F3 LS,2014-02-13,2013,BLK,F,3,L,S,BLK F3 LS,38,1.9346,2.684,2.635,2.615,2.595,2.58,2.564,2.303,0.3684,0.7494,103.4201954,87,1.02,3.4272612,298.1717244,0.029817172,9.03708E-07,3.6886E-07,3.6886E-07,2.76645E-07,2.95088E-07,4.37099E-07
BLK F3 WA,2014-02-13,2013,BLK,F,3,W,A,BLK F3 WA,33,1.7118,2.519,2.476,2.451,2.436,2.419,2.408,2.122,0.4102,0.8072,96.78205753,85,0.92,3.0912552,262.756692,0.026275669,8.99939E-07,5.2322E-07,3.13932E-07,3.5579E-07,2.30217E-07,6.48793E-07
BLK F3 WC,2014-02-13,2013,BLK,F,3,W,C,BLK F3 WC,23,1.7887,2.326,2.294,2.278,2.263,2.252,2.241,2.068,0.2793,0.5373,92.37379162,56,0.955,3.2088573,179.6960088,0.017969601,9.79287E-07,4.89643E-07,4.59041E-07,3.3663E-07,3.3663E-07,6.08994E-07
BLK F3 WS,2014-02-13,2013,BLK,F,3,W,S,BLK F3 WS,34.8,1.755,2.306,2.236,2.206,2.188,2.167,2.145,2.013,0.258,0.551,113.5658915,57,0.9,3.024054,172.371078,0.017237108,2.23322E-06,9.57095E-07,5.74257E-07,6.69967E-07,7.0187E-07,9.60286E-07
BLK F4 LA,2014-02-13,2013,BLK,F,4,L,A,BLK F4 LA,21,1.9354,2.127,2.117,2.115,2.11,2.106,2.103,2.031,0.0956,0.1916,100.41841,24,0.965,3.2424579,77.8189896,0.007781899,7.06664E-07,1.41333E-07,3.53332E-07,2.82665E-07,2.11999E-07,1.97866E-07
BLK F4 LC,2014-02-13,2013,BLK,F,4,L,C,BLK F4 LC,22,1.8521,2.128,2.119,2.111,2.108,2.103,2.096,1.983,0.1309,0.2759,110.7715814,30,0.985,3.3096591,99.289773,0.009928977,4.98467E-07,4.43082E-07,1.66156E-07,2.76926E-07,3.87696E-07,3.3785E-07
BLK F4 WA,2014-02-13,2013,BLK,F,4,W,A,BLK F4 WA,15,1.9137,1.993,1.986,1.984,1.98,1.98,1.976,1.956,0.0423,0.0793,87.47044917,14,0.707142857,2.376042429,33.264594,0.003326459,1.15722E-06,3.30633E-07,6.61266E-07,0,6.61266E-07,2.9757E-07
BLK F4 WC,2014-02-13,2013,BLK,F,4,W,C,BLK F4 WC,9,1.8734,1.999,1.994,1.986,1.984,1.982,1.979,1.925,0.0516,0.1256,143.4108527,17,0.897058824,3.014171471,51.240915,0.005124092,5.36601E-07,8.58562E-07,2.1464E-07,2.1464E-07,3.21961E-07,9.65882E-07
BLK F5 LA,2014-02-13,2013,BLK,F,5,L,A,BLK F5 LA,31,1.9459,2.633,2.566,2.545,2.531,2.518,2.503,2.263,0.3171,0.6871,116.6824346,74,0.765,2.5704459,190.2129966,0.0190213,1.93701E-06,6.07124E-07,4.04749E-07,3.75839E-07,4.3366E-07,6.47599E-07
BLK F5 LC,2014-02-13,2013,BLK,F,5,L,C,BLK F5 LC,29,1.7066,2.394,2.299,2.283,2.269,2.252,2.242,2.01,0.3034,0.6874,126.56559,68,0.745,2.5032447,170.2206396,0.017022064,3.06909E-06,5.16899E-07,4.52287E-07,5.49206E-07,3.23062E-07,6.29971E-07
BLK F5 LS,2014-02-13,2013,BLK,F,5,L,S,BLK F5 LS,12,1.9028,2.045,2.041,2.034,2.029,2.024,2.02,1.97,0.0672,0.1422,111.6071429,27,0.62,2.0832372,56.2474044,0.00562474,3.91071E-07,6.84375E-07,4.88839E-07,4.88839E-07,3.91071E-07,8.2125E-07
BLK F5 WA,2014-02-13,2013,BLK,F,5,W,A,BLK F5 WA,11,1.8065,2.169,2.158,2.149,2.142,2.136,2.131,1.977,0.1705,0.3625,112.6099707,50,0.79,2.6544474,132.72237,0.013272237,4.55771E-07,3.72904E-07,2.90036E-07,2.48602E-07,2.07169E-07,4.68201E-07
BLK F5 WC,2014-02-13,2013,BLK,F,5,W,C,BLK F5 WC,24,1.8635,2.452,2.423,2.417,2.405,2.395,2.379,2.146,0.2825,0.5885,108.3185841,60,0.865,2.9064519,174.387114,0.017438711,9.14496E-07,1.89206E-07,3.78412E-07,3.15344E-07,5.0455E-07,3.78412E-08
BRR F1 LA,2014-02-12,2013,BRR,F,1,L,A,BRR F1 LA,28,1.9386,2.572,2.54,2.522,2.502,2.493,2.482,2.251,0.3124,0.6334,102.7528809,58,1.08,3.6288648,210.4741584,0.021047416,8.36083E-07,4.70297E-07,5.22552E-07,2.35148E-07,2.87404E-07,6.71479E-07
BRR F1 LA,2014-02-13,2013,BRR,F,1,L,A,BRR F1 LA,35,1.9135,2.786,2.729,2.704,2.692,2.671,2.658,2.302,0.3885,0.8725,124.5817246,80,1.125,3.7800675,302.4054,0.03024054,1.03653E-06,4.5462E-07,2.18218E-07,3.81881E-07,2.36403E-07,4.94627E-07
BRR F1 LC,2014-02-12,2013,BRR,F,1,L,C,BRR F1 LC,21,1.9256,2.346,2.326,2.306,2.285,2.276,2.268,2.124,0.1984,0.4204,111.8951613,42,1.05,3.528063,148.178646,0.014817865,7.42237E-07,7.42237E-07,7.79349E-07,3.34007E-07,2.96895E-07,1.1616E-06
BRR F1 LC,2014-02-13,2013,BRR,F,1,L,C,BRR F1 LC,24,1.8923,2.585,2.517,2.497,2.487,2.474,2.461,2.199,0.3067,0.6927,125.8558852,50,0.945,3.1752567,158.762835,0.015876284,2.35537E-06,6.92755E-07,3.46377E-07,4.50291E-07,4.50291E-07,7.03146E-07
BRR F1 LS,2014-02-12,2013,BRR,F,1,L,S,BRR F1 LS,19,1.863,2.119,2.103,2.085,2.067,2.062,2.056,1.994,0.131,0.256,95.41984733,45,0.815,2.7384489,123.2302005,0.01232302,7.14005E-07,8.03255E-07,8.03255E-07,2.23127E-07,2.67752E-07,1.28967E-06
BRR F1 LS,2014-02-13,2013,BRR,F,1,L,S,BRR F1 LS,22,1.9184,2.281,2.255,2.245,2.236,2.232,2.222,2.078,0.1596,0.3626,127.1929825,45,0.98,3.2928588,148.178646,0.014817865,9.64908E-07,3.71119E-07,3.34007E-07,1.48447E-07,3.71119E-07,3.71119E-07
