site,year,date,time,sample,weight,depth,density,swe,htc
Rupert Ck Riparian willow,2007,20070224,1600,3,350,68,144.0900948,97.98126445,0.089764925
Rupert Ck Riparian willow,2007,20070224,1600,4,495,70,197.9621465,138.5735026,0.164593848
Rupert Ck Riparian willow,2007,20070224,1600,5,525,70,209.9598524,146.9718967,0.185149186
Rupert Ck Riparian willow,2007,20070224,1600,6,335,69,135.9160397,93.78206741,0.078711767
Rupert Ck Riparian willow,2007,20070224,1600,7,525,62,237.0514463,146.9718967,0.266465421
Rupert Ck Riparian willow,2007,20070224,1600,8,515,68,212.0182823,144.172432,0.194350222
Rupert Ck Riparian willow,2007,20070224,1600,9,410,60,191.2967544,114.7780526,0.179312796
Rupert Ck Riparian willow,2007,20070224,1600,10,355,48,207.0437433,99.3809968,0.262561059
Rupert Ck Riparian willow,2007,20070224,1600,11,530,66,224.8054985,148.371629,0.225121645
Rupert Ck Riparian willow,2007,20070224,1600,12,465,68,191.4339831,130.1751085,0.158444252
Rupert Ck Riparian willow,2007,20070224,1600,13,465,68,191.4339831,130.1751085,0.158444252
Rupert Ck Riparian willow,2007,20070224,1600,14,375,56,187.4641539,104.9799262,0.184499747
Rupert Ck Riparian willow,2007,20070224,1600,15,360,50,201.5614583,100.7807292,0.238886886
Rupert Ck Riparian willow,2007,20070224,1600,16,355,50,198.7619936,99.3809968,0.232297221
Rupert Ck Riparian willow,2007,20070224,1600,17,490,64,214.334016,137.1737702,0.211032605
Rupert Ck Riparian willow,2007,20070224,1600,18,300,56,149.9713231,83.98394096,0.118079838
Rupert Ck Riparian willow,2007,20070224,1600,19,480,56,239.954117,134.3743055,0.302284386
Rupert Ck Riparian willow,2007,20070224,1600,20,635,70,253.9514405,177.7660084,0.270863603
Rupert Ck Riparian willow,2007,20070224,1600,21,620,74,234.549745,173.5668113,0.218567478
Rupert Ck Riparian willow,2007,20070224,1600,22,495,70,197.9621465,138.5735026,0.164593848
Rupert Ck Riparian willow,2007,20070224,1600,23,445,60,207.6269652,124.5761791,0.211233888
Rupert Ck Riparian willow,2007,20070224,1600,24,490,60,228.6229504,137.1737702,0.256115422
Rupert Ck Riparian willow,2007,20070224,1600,25,380,60,177.2994309,106.3796585,0.154031932
Rupert Ck Riparian willow,2007,20070224,1600,26,460,60,214.6256269,128.7753761,0.225714383
Rupert Ck Riparian willow,2007,20070224,1600,27,395,54,204.7756585,110.5788556,0.228302272
Rupert Ck Riparian willow,2007,20070224,1600,28,325,44,206.7786425,90.98260271,0.28569722
Rupert Ck Riparian willow,2007,20070224,1600,29,425,54,220.3282402,118.9772497,0.264298015
Rupert Ck Riparian willow,2007,20070224,1600,30,530,66,224.8054985,148.371629,0.225121645
Rupert Ck Riparian willow,2007,20070224,1600,31,530,62,239.3090791,148.371629,0.271565122
Rupert Ck Riparian willow,2007,20070224,1600,32,515,68,212.0182823,144.172432,0.194350222
Rupert Ck Riparian willow,2007,20070224,1600,33,535,66,226.9263051,149.7713614,0.229389259
South OF Nester 1 north 1km,2007,20070404,1441h,1,,26,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,2,,16,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,3,,18,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,4,,20,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,5,,22,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,6,,17,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,7,,20,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,8,,26,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,9,,29,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,10,,19,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,11,,22,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,12,,27,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,13,,30,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,14,,40,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,15,,38,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,16,,24,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,17,,24,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,18,,30,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,19,,25,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,20,,26,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,21,,14,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,22,,20,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,23,,30,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,24,,25,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,25,,20,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,26,,18,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,27,,19,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,28,,28,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,29,,30,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,30,,54,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,31,,25,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,32,,24,0,0,0
South OF Nester 1 north 1km,2007,20070404,1441h,33,,26,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,1,,38,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,2,,34,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,3,,34,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,4,,28,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,5,,15,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,6,,28,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,7,,32,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,8,,25,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,9,,24,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,10,,30,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,11,,14,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,12,,44,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,13,,50,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,14,,20,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,15,,40,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,16,,43,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,17,,40,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,18,,38,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,19,,38,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,20,,40,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,21,,49,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,22,,54,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,23,,62,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,24,,42,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,25,,56,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,26,,62,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,27,,48,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,28,,58,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,29,,62,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,30,,62,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,31,,63,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,32,,48,0,0,0
Wetland N2Kmwest of nester 1,2007,20070329,1115h,33,,54,0,0,0
Mary Lake: Forest,2008,20080227,1300,1,752,77,273.4022667,210.5197453,0.285404507
Mary Lake: Forest,2008,20080227,1300,2,800,85,263.4790305,223.9571759,0.240115678
Mary Lake: Forest,2008,20080227,1300,3,920,100,257.5507523,257.5507523,0.195017227
