location,site,type,year,sample.no,depth,density,swe,htc
Broad: Riparian Forest,BRF,forest,2010,22,62,171.5801,106.3797,0.1396
Broad: Riparian Forest,BRF,forest,2010,23,72,194.4073,139.9732,0.1543
Broad: Riparian Forest,BRF,forest,2010,24,64,183.7149,117.5775,0.155
Broad: Riparian Forest,BRF,forest,2010,25,66,207.839,137.1738,0.1924
Broad: Riparian Forest,BRF,forest,2010,26,72,186.631,134.3743,0.1422
Broad: Riparian Forest,BRF,forest,2010,27,72,128.3088,92.3823,0.0672
Broad: Riparian Forest,BRF,forest,2010,28,88,241.772,212.7593,0.1953
Broad: Riparian Forest,BRF,forest,2010,29,66,190.8726,125.9759,0.1623
Broad: Riparian Forest,BRF,forest,2010,30,56,159.9694,89.5829,0.1343
Broad: Riparian Forest,BRF,forest,2010,31,66,169.6645,111.9786,0.1282
Broad: Riparian Forest,BRF,forest,2010,32,58,144.7999,83.9839,0.1063
Broad: Riparian Forest,BRF,forest,2010,33,54,202.1836,109.1791,0.2226
Broad: Sedge Fen,BCF,fen,2010,1,45,286.1675,128.7754,0.535
Broad: Sedge Fen,BCF,fen,2010,2,38,235.7444,89.5829,0.43
Broad: Sedge Fen,BCF,fen,2010,3,39,287.1246,111.9786,0.6215
Broad: Sedge Fen,BCF,fen,2010,4,32,192.4632,61.5882,0.3403
Broad: Sedge Fen,BCF,fen,2010,5,28,219.9579,61.5882,0.508
Broad: Sedge Fen,BCF,fen,2010,6,30,223.9572,67.1872,0.4915
Broad: Sedge Fen,BCF,fen,2010,7,33,237.5303,78.385,0.5027
Broad: Sedge Fen,BCF,fen,2010,8,31,234.7938,72.7861,0.5228
Broad: Sedge Fen,BCF,fen,2010,9,43,286.4569,123.1764,0.561
Broad: Sedge Fen,BCF,fen,2010,10,34,181.1418,61.5882,0.2837
Broad: Sedge Fen,BCF,fen,2010,11,44,318.121,139.9732,0.6762
Broad: Sedge Fen,BCF,fen,2010,12,38,250.4784,95.1818,0.4854
Broad: Sedge Fen,BCF,fen,2010,13,46,279.9465,128.7754,0.5009
Broad: Sedge Fen,BCF,fen,2010,14,52,236.8778,123.1764,0.3172
Broad: Sedge Fen,BCF,fen,2010,15,50,279.9465,139.9732,0.4608
Broad: Sedge Fen,BCF,fen,2010,16,51,307.3922,156.77,0.5447
Broad: Sedge Fen,BCF,fen,2010,17,57,265.2124,151.1711,0.3628
Broad: Sedge Fen,BCF,fen,2010,18,65,267.0259,173.5668,0.3225
Broad: Sedge Fen,BCF,fen,2010,19,62,298.0075,184.7647,0.4211
Broad: Sedge Fen,BCF,fen,2010,20,58,289.5998,167.9679,0.4251
Broad: Sedge Fen,BCF,fen,2010,21,58,318.5598,184.7647,0.5144
Broad: Sedge Fen,BCF,fen,2010,22,48,291.6109,139.9732,0.5209
Broad: Sedge Fen,BCF,fen,2010,23,44,279.9465,123.1764,0.5237
Broad: Sedge Fen,BCF,fen,2010,24,48,233.2887,111.9786,0.3333
Broad: Sedge Fen,BCF,fen,2010,25,32,227.4565,72.7861,0.4753
Broad: Sedge Fen,BCF,fen,2010,26,29,250.9865,72.7861,0.6386
Broad: Sedge Fen,BCF,fen,2010,27,28,199.9618,55.9893,0.4198
Broad: Sedge Fen,BCF,fen,2010,28,26,279.9465,72.7861,0.8862
Broad: Sedge Fen,BCF,fen,2010,29,28,279.9465,78.385,0.8229
Broad: Sedge Fen,BCF,fen,2010,30,37,302.6448,111.9786,0.7278
Broad: Sedge Fen,BCF,fen,2010,31,29,289.5998,83.9839,0.8502
Broad: Sedge Fen,BCF,fen,2010,32,27,373.262,100.7807,1.5171
Broad: Sedge Fen,BCF,fen,2010,33,26,301.4808,78.385,1.0278
Broad: Shrub,BSH,shrub,2010,NA,NA,NA,NA,NA
Broad: Spruce Forest,BSF,forest,2010,1,49,171.3958,83.9839,0.1763
Broad: Spruce Forest,BSF,forest,2010,2,44,197.235,86.7834,0.2599
Broad: Spruce Forest,BSF,forest,2010,3,45,174.1889,78.385,0.1982
Broad: Spruce Forest,BSF,forest,2010,4,56,189.9637,106.3797,0.1895
Broad: Spruce Forest,BSF,forest,2010,5,57,171.897,97.9813,0.1524
Broad: Spruce Forest,BSF,forest,2010,6,66,178.1478,117.5775,0.1414
Broad: Spruce Forest,BSF,forest,2010,7,58,144.7999,83.9839,0.1063
Broad: Spruce Forest,BSF,forest,2010,8,54,155.5258,83.9839,0.1317
Broad: Spruce Forest,BSF,forest,2010,9,53,179.5883,95.1818,0.1789
Broad: Spruce Forest,BSF,forest,2010,10,53,174.3063,92.3823,0.1685
Broad: Spruce Forest,BSF,forest,2010,11,54,186.631,100.7807,0.1896
Broad: Spruce Forest,BSF,forest,2010,12,56,169.9675,95.1818,0.1517
Broad: Spruce Forest,BSF,forest,2010,13,55,162.8779,89.5829,0.1418
Broad: Spruce Forest,BSF,forest,2010,14,57,186.631,106.3797,0.1797
Broad: Spruce Forest,BSF,forest,2010,15,58,173.7599,100.7807,0.153
Broad: Spruce Forest,BSF,forest,2010,16,56,174.9665,97.9813,0.1607
Broad: Spruce Forest,BSF,forest,2010,17,58,178.5865,103.5802,0.1617
Broad: Spruce Forest,BSF,forest,2010,18,55,167.9679,92.3823,0.1508
Broad: Spruce Forest,BSF,forest,2010,19,56,154.9704,86.7834,0.1261
Broad: Spruce Forest,BSF,forest,2010,20,58,173.7599,100.7807,0.153
Broad: Spruce Forest,BSF,forest,2010,21,53,190.1523,100.7807,0.2006
Broad: Spruce Forest,BSF,forest,2010,22,56,159.9694,89.5829,0.1343
